Kinase	norm.ANID	norm.ATHA	norm.CALB	norm.CCIN	norm.CNEO	norm.DDIS	norm.HSAP	norm.MBRE	norm.NCRA	norm.NIRR	norm.PCON	norm.PGRA	norm.PJIR	norm.SCER	norm.SCOMP	norm.SCRY	norm.SJAP	norm.SOCT	norm.SPOM	norm.TDEF	norm.TMEL	norm.UMAY	norm.YLIP
TKL/LISK protein kinase	0	0	0	0	0	8.12E-05	0	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK protein kinase	9.28E-05	0.00021885	0.000160746	7.50E-05	0.000143369	0.000324728	0.000262927	0.001304915	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000266809	0	0.000155087
CAMK/CAMKL/CHK1 protein kinase	9.28E-05	0	0	7.50E-05	0.000143369	0	4.38E-05	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0
CAMK/TSSK protein kinase	0	0	0	0	0	0	0.000219106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE11/CDC15 protein kinase	9.28E-05	7.30E-05	0.000160746	0.000149936	0.000143369	0.00040591	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000284333	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000294681	0.000155087
TLK protein kinase	0	3.65E-05	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAK/MPSK protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0.00020496	0	0	0	0	0	0
CMGC/MAPK/ERK1 protein kinase	9.28E-05	0	0.000321492	0	0	0	8.76E-05	0.000326229	0.00010248	0.000149835	7.48E-05	0	0.000284252	0.000509597	0.000142167	0.000193686	0	0.000200521	0	0	0.000133404	0	0.000310174
AGC/SGK protein kinase	0	0	0	0	0	0	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK/PLK-UNCLASSIFIED protein kinase	0	0	0	0	0	0	0	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CK1/VRK protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/RIPK protein kinase	0	0	0	0	0	0	0.000175285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK/NEK10 protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CLK protein kinase	9.28E-05	0.000109425	0.000160746	0.000299873	0.000143369	8.12E-05	0.000219106	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000147341	0.000155087
CAMK/CAMKL/QIK protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMKL protein kinase	0	0.000547126	0	0.000224904	0.000430108	0.000162364	4.38E-05	0.001304915	0.00010248	0	7.48E-05	0.000126438	0	0	0	0.000193686	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000294681	0
CAMK/CAMKL/KIN1 protein kinase	9.28E-05	0	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0.000387372	0.00020496	0.000200521	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
TKL/TKL-UNIQUE protein kinase	0	3.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAN protein kinase	9.28E-05	0	0.000160746	0.000224904	0.000143369	0	0	0	0.00020496	0.000149835	0.0001496	6.32E-05	0.000284252	0.000509597	0.0004265	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
CAMK/MAPKAPK protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/RAF/RAF protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/MAST/MAST protein kinase	0	3.65E-05	0	0	0	0.000243546	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKK protein kinase	0	0	0	0	0	0	0.000219106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/ABC1/ABC1-B protein kinase	9.28E-05	7.30E-05	0.000160746	7.50E-05	0.000143369	0	4.38E-05	0.000108743	0.00020496	0.000149835	7.48E-05	0.000126438	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0	0.000147341	0.000155087
VPS15 protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	8.12E-05	4.38E-05	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
WEE protein kinase	0	0	0	0	0.000143369	0.000243546	0	0.000108743	0.00010248	0	0	6.32E-05	0	0.000169866	0	0	0.00020496	0	0	0	0	0.000147341	0
STE/STE20/MKC protein kinase	0	0	0	0	0	0.000487092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/RIO protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0.000169866	0	0	0	0	0	0	0	0	0
CMGC/MAPK/JNK protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/SLK protein kinase	0	0	0	0	0	0	8.76E-05	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/AKT protein kinase	0.000185684	0	0.000321492	0.000224904	0.000286738	8.12E-05	0.000131464	0.000326229	0.00020496	0	0.0002244	0.000189657	0	0.000509597	0.000284333	0.000581058	0.00061488	0.000601564	0.000586854	0	0.000266809	0.000294681	0.000465261
STE/STE7/MEK1 protein kinase	9.28E-05	0.000109425	0.000160746	0	0.000143369	0	8.76E-05	0.000108743	0.00010248	0	7.48E-05	6.32E-05	0.000284252	0	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0
CMGC/CDKL protein kinase	0	0	0	0	0	0	0.000219106	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/MLCK protein kinase	0	0	0	0	0	0	0.000219106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/ABC1/ABC1-C protein kinase	9.28E-05	3.65E-05	0.000160746	0	0.000143369	8.12E-05	4.38E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000147341	0.000155087
STE protein kinase	0	7.30E-05	0	7.50E-05	0	0.000243546	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMKK/CAMKK-META protein kinase	9.28E-05	7.30E-05	0	0	0.000143369	8.12E-05	8.76E-05	0.000108743	0.00020496	0.00029967	7.48E-05	6.32E-05	0.000284252	0	0.000142167	0	0.00040992	0	0	0.000216967	0.000133404	0.000147341	0.000155087
NKF2 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/MLK/ILK protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/MLK protein kinase	0	0	0	0	0	0	4.38E-05	0.000326229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WEE/MYT1 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
